text,con1,con2,con3,con4,con5,lib1,lib2,lib3,lib4,lib5
"@SenBlumenthal Well. considering Kavanaugh and his family are being bullied and receiving death threats,  he is obviously innocent.  You really are a brilliant man",0,1,0,1,1,1,0,0,1,1
@americanradical @SenBlumenthal You’re so angry. Poor little thing.,0,1,1,0,0,0,0,0,0,1
@SenBlumenthal You could be setting up the clean up of all the garbage along Route 91 instead. Wait that would take some effort!,1,1,1,1,0,0,0,1,0,0
@SenBlumenthal Truth....... Vietnam?,1,0,0,0,1,0,0,0,0,1
@SenBlumenthal You and your Dem resistance colleagues should be held accountable for your coordinated assault on Mr. Kavanaugh. But we Americans will never get to see that until the swamp is drained!,1,1,1,1,1,1,1,1,1,1
@SenBlumenthal Wow? Really that's how you see it? I just want to know if there is something wrong with you or your just a lying propagandist? Do you know you're lying?,1,1,1,1,1,1,0,1,1,1
@KatiePavlich @SenBlumenthal Oh he just lied about being a Vietnam vet!!!,1,0,1,1,1,1,0,1,0,0
@tomselliott @NoahCRothman @SenBlumenthal Did you learn that in Vietnam Senator?,1,0,0,0,1,0,0,0,0,1
"@KatiePavlich @SenBlumenthal He served his country in Vietnam. Oh wait, he only claimed he did.",1,0,0,0,1,1,0,0,0,0
"@KatiePavlich @SenBlumenthal He served our country in Vietnam, oh wait no he didn’t",1,0,0,0,1,0,0,0,0,1
@SenBlumenthal You will only stand up for them as long as they are accusing a republican. It amazes me how you talk out of both ends. Vietnam Clown 🤡,1,0,1,1,1,1,0,1,1,1
@KatiePavlich @TexLady2 @SenBlumenthal What say you sen?,0,0,0,0,0,0,0,0,0,0
@SenBlumenthal What about due process and presumption of innocence?  You sir have declared Judge K guilty based on an allegation - this is just a drive by shooting by you and your Democrat colleagues - you don’t care about Ford - you’ll toss her aside just as long as you get Judge K’s scalp,1,1,1,1,1,1,0,1,1,0
"@lilyswan88 @crvaccaro @SenBlumenthal Is that what it is about? Smear a man because he is pro life? Allow people to threaten death to his wife and young daughters because he believes that a life is started at conception? 
Btw, why did my wife have to sign off on my vasectomy? Not a law but was deemed legal.",1,0,1,1,1,1,0,1,1,1
@SenBlumenthal and Senator @maziehirono have stated that we should change American justice from Innocent until Proven guilty to #CourtofCredibility ?  Shameful that voters actually put them in office!,1,1,1,1,1,1,1,1,1,1
@SenBlumenthal Check out the 5th amendment.   You and your colleagues have brought a level of dirty politics that is historic.,1,1,1,1,1,1,0,1,1,1
"If you push Brett Kavanaugh through without an FBI investigation and fair hearing, we will vote you all out now and in 2020! @lisamurkowski @senblumenthal #TW #StopKavanaugh  #MeToo #CancelKavanaugh https://t.co/Car8oYNjTX",1,1,1,1,1,1,1,1,1,1
"@SenBlumenthal U do that &amp; don’t forget your other forgotten subjects of grandstanding for the vote highlights. Russia but not w/Dems, hush funds &amp; sexual misconduct but not w/Dems (Ellison, etal), &amp; get some of your bloody dressed protestors, &amp; the anti-Semitic Sarsour to join you...hypocrite",1,1,1,1,1,1,1,1,1,0
@SenBlumenthal What happens when someone accuses you without any proof? We believe them??,1,0,1,1,1,1,1,0,0,1
@KatiePavlich @SenBlumenthal You mean other than lying about being in Vietnam?,1,0,1,0,1,1,0,0,0,0
@CNNSitRoom @SenBlumenthal @wolfblitzer Holy Dog S?$!  The real thing being hidden is Blumenthal's military service records,0,1,1,1,1,1,0,1,0,0
"@SenBlumenthal since you are wanting an investigation  of something that happened 40 years ago, are you gonna look into the bill clinton rape cases ?",1,1,0,1,1,0,0,1,0,0
@SenBlumenthal Bullying?? Constraints?? The dates have been moved several times at the request of fords attorney.,0,0,0,1,1,0,0,0,0,1
@SenBlumenthal The only bullies evident here are Fords lawyers and the radical left. Yes that includes you Mr Blumenthal,0,1,1,1,1,0,0,0,0,0
"If you push Brett Kavanaugh through without an FBI investigation and fair hearing, we will vote you all out now and in 2020! @lisamurkowski @senblumenthal #TW #StopKavanaugh  #MeToo #CancelKavanaugh https://t.co/AAGI6Ke2dE",1,1,1,1,1,1,1,1,1,1
@SenBlumenthal You are such a dirty snake,1,1,1,1,1,1,0,1,0,1
"@CNNSitRoom @SenBlumenthal @wolfblitzer Lied about service record, why would anyone believe you on anything. Must be some really gullible ppl who elected you.",1,1,0,1,1,1,0,1,1,1
@KatiePavlich @SenBlumenthal Blumenthal should be prosecuted for using stolen valor to help him get elected,1,1,1,1,1,1,0,1,1,1
"@SenBlumenthal @SenateDems Just vote no sir
Surely other people’s votes are there’s, correct?
Or do u take their vote too!!",0,1,0,1,0,1,0,1,1,1
@SenBlumenthal @StageYaneu The highlight of my day is when you’re on CNN. Measured and smart.,0,0,0,0,0,0,0,0,0,1
@SenBlumenthal Your comments are ludicrous and dishonest! Lawlessness is not a strategy! The Character Assassin has not provided any collaboration. Due process is a fundamental legal concept that you and Yale Law students have ignored,1,1,1,1,1,1,0,1,1,0
"@KatiePavlich @SenBlumenthal Turned CT upside down, side by side with Malloy. He's a POS.",1,1,1,1,1,1,0,1,0,1
"@tomselliott @NoahCRothman @SenBlumenthal That's backasswards. Burden is on the accuser. Blumenthal is stupid or lying. Which is it, Blumenthal?",0,1,1,1,1,1,0,1,1,1
@CNNSitRoom @SenBlumenthal @wolfblitzer The new demagogue of 2018. The reincarnation of Joe McCarthy of the 1950's is Senator Blumenthal who has Judge Kavanaugh guilty. Even though there is zero corroborating evidence.,1,0,1,1,1,0,0,1,1,1
"@CNNSitRoom @SenBlumenthal @wolfblitzer Does Blumenthal seem like he is mentally balanced to the rest of America, because there appears to be something really off to me about this dude.",0,1,1,1,1,0,1,1,1,1
@KatiePavlich @Tomas3percenter @SenBlumenthal He is a confirmed liar about his time in Vietnam. Claimed he served but never did. POS.,1,1,1,1,1,1,1,1,1,1
@KatiePavlich @SenBlumenthal Go get 'em @KatiePavlich Put that #Fake #VietNamVeteran in his place. #ConfirmBrettKavanaughNow,0,1,1,1,1,1,1,1,0,0
@SenBlumenthal Not survivors! They are LIARS just like you Mr. Stolen Valor,0,1,1,1,1,1,0,1,0,1
"@CNNSitRoom @SenBlumenthal @wolfblitzer Oh btw, Mr. Stolen Valor, YOU HAVE ZERO CREDIBILITY. Unlike you, I have been in combat in multiple Afghan campaigns. Why do most congressmen lack integrity?",1,1,1,1,1,1,0,1,1,1
"@SenBlumenthal #fordislying #ConfirmBrettKavanaugh 
This is the lamest story I ever heard. You know you don’t believe her either. But it fits your political agenda.",0,1,1,1,1,1,0,1,0,1
"CONNECTICUT!!!???? @SenBlumenthal WTF, WTH do we have that many screws lose? SAD!😢☹️🙁😭",0,1,1,1,1,1,0,1,0,1
"@SenBlumenthal You’re an ignorant sob, but you know that. You have no place to talk about the Senate rules, something you have proven you know nothing about.",1,1,1,1,1,1,0,1,1,1
"If you push Brett Kavanaugh through without an FBI investigation and fair hearing, we will vote you all out now and in 2020!

@lisamurkowski @senblumenthal #TW #StopKavanaugh  #MeToo #CancelKavanaugh https://t.co/2KWiUe2mBV",1,1,1,1,0,1,1,1,1,1
@KatiePavlich @SenBlumenthal I believe Blumentahal is making this pledge on his Vietnam metals of valor.,0,0,0,1,1,0,0,1,0,1
@KatiePavlich @SenBlumenthal Katie didn’t senator blumenthal claim he served in Vietnam,0,0,0,1,1,0,0,0,0,1
@CNNSitRoom @SenBlumenthal @wolfblitzer He’s a “big liar” saying he went to Vietnam! This guy should be banished from Senate. No one can be such a hypocrite he has many enemy’s in Congress!!,1,1,1,1,1,1,1,1,1,1
@SenBlumenthal My mother is a survivor of sexual assault and I am a product of that sexual assault. This is verifiable if anyone doubts me. I don't need anyone like YOU standing for me. You disgust me.,1,1,1,1,1,1,0,1,1,1
"@SenBlumenthal Says the decorated war hero 😂! You sir, are a joke.",0,1,1,1,1,1,0,1,0,1
"If you push Brett Kavanaugh through without an FBI investigation and fair hearing, we will vote you all out now and in 2020! @lisamurkowski @senblumenthal #TW #StopKavanaugh  #MeToo #CancelKavanaugh https://t.co/QfInI6q27j",1,1,0,1,0,1,1,1,1,1
@SenBlumenthal You had no problems with Obama hiding documents BUT NOW it seems like a big thing. You're a hypocrite and should be impeached for your attempts to bring BS accusations against Kavanaugh BUT you haven't said shit about Keith Ellison assaulting his girlfriend twice!,1,1,1,1,1,1,1,1,1,1
"@CNNSitRoom @SenBlumenthal @wolfblitzer I bet we can find something ""credible"" on the senator too.",0,0,0,0,1,0,0,0,0,0
"@plantlady293 @RealMAGASteve @SenBlumenthal u know what investigations the FBI does, Stolen Valor, scumbag.",1,1,1,1,1,1,0,1,1,1
"@KatiePavlich @SenBlumenthal When the king of liars supports her you know it’s bogus. I’m not certain, but I think Fords dad may have served in Vietnam with @SenBlumenthal",1,1,1,1,1,1,0,1,0,1
@SenBlumenthal was caught laughing behind Mazie when she told men to shut up. Did she mean only men who disagree with her? #MorningJoe,1,1,1,1,1,0,0,1,0,1
@SenBlumenthal Coming from a proven liar.  Not to creditable,1,1,1,0,1,1,0,0,0,1
"@KatiePavlich @Veteran4Trump @SenBlumenthal Our leadership here in Ct is the worst and truly an utter embarrassment! This is why Connecticut is so expensive and living here gets harder and harder. These idiots don’t care about CT citizens at all, but will spew crap about things that don’t involve them!",1,1,1,1,1,1,0,1,1,1
"@SenBlumenthal Senator,
          To have someone who has claimed to have served in Viet Nam make any charge of lying against Brett Kavanaugh is truly laughable.  Stolen valor is far more serious than a 36-year, alcohol addled, vague remberance of a supposed ""sexual encounter.""",1,1,1,1,1,1,0,1,1,1
@SenBlumenthal Did you lie in good conscience about serving in Vietnam?,1,1,1,1,1,1,0,1,1,1
"@SenBlumenthal What are you talking about? Grassley has been MORE than accommodating to t
DRM Ford.",0,0,1,1,0,0,0,0,0,1
"@wandoo1955 @SenBlumenthal should recuse himself from anything to do with false memories.
https://t.co/SzlwoIHzLQ",0,0,0,0,1,0,0,0,0,1
@SenBlumenthal if it weren’t so serious I would laugh at your comments saying Judge Kavanaugh has to prove his innocence! You are disgusting POS who should burn in hell for all eternity ! #ComfirmKavanaughNow,1,1,1,1,1,1,1,1,1,1
"@KatiePavlich @SenBlumenthal How can that dweeb, Blumenthal know ANYTHING about courage?",1,1,0,1,1,1,0,1,1,1
@SenBlumenthal Just another Dem liar.  Confirm Kavanaugh now.,0,1,1,0,1,1,0,0,0,1
"@ChrisMurphyCT @SenBlumenthal

Please pay attention to this! This is beyond ""youthful indiscretion"".

New Allegation of Sexual Misconduct, from Brett Kavanaugh’s College Years, by His Yale Classmate Deborah Ramirez | The New Yorker

https://t.co/0qMakJqQ2E",0,0,1,1,1,0,0,0,1,1
"@SenBlumenthal @Bittyreen Breaking news, Dems have found a woman that is prepared to come forward and testify that Kavanaugh murdered her at a drunken party in high school",0,0,1,1,1,1,0,0,1,0
@SenBlumenthal millions of people agree but #Republicans don't care. They want someone on SCOTUS who will follow their agenda! Time for #Democrats to stop being bullied by these #Republicans! The Supreme Court judges care little about Constitution. It's all about politics! https://t.co/FJnWvG0ojU,1,0,1,1,0,0,0,1,1,1
@codisch @SenBlumenthal So a POTUS that is incapable of telling the truth is okay with you? #doublestandardmuch #potcallingkettleblack #stopbeingahypocrite,0,1,1,1,1,1,0,1,1,1
@SenBlumenthal @BolynsProgeny Please don't let the law clerk flashing white power signs to sit behind him again.,0,0,1,0,0,1,0,0,1,1
"@SenBlumenthal DELAY???

Don't you mean WITHDRAW??? https://t.co/1kypUvtrSl",0,1,1,1,1,0,0,0,0,1
@SenBlumenthal Tell the students about your heroics in Nam.,1,0,0,0,1,0,0,0,0,1
@SenBlumenthal What a load of crap.....,0,1,1,1,1,1,0,1,0,1
"@SenBlumenthal Key words being ""good conscience"" .",0,0,0,0,1,1,0,0,0,0
"@SenBlumenthal Are you Richard Blumenthal, the Vietnam war hero who ""misspoke""? It's better known as deception, fraud, or just plain bald-face lying. And you were CT's Attorney-General? You are the epitome of virtue signaling slime.",1,1,1,1,1,1,1,1,1,1
"@SenBlumenthal She will never testify. She's lying, as are all of you, and she's not going to lie under oath. This was a scam from the get go and you know that.",1,1,1,1,1,1,0,1,0,1
"If you push Brett Kavanaugh through without an FBI investigation and fair hearing, we will vote you all out now and in 2020! @lisamurkowski @senblumenthal #TW #StopKavanaugh  #MeToo #CancelKavanaugh https://t.co/1CBC41BPVv",1,1,1,1,0,1,1,1,1,1
"@KatiePavlich @SenBlumenthal He thought he served in Vietnam for awhile but, was mistaken. Is that enough?",1,0,0,0,1,0,0,0,0,1
"@SenBlumenthal Disgusting demagogue you are reincarnation of Joe McCarthy of 1950's.  Kavanaugh does not get presumption of innocence like any other citizen. You and fellow Dems don't want justice. Completely ignored conference call with Judge last week. Already guilty, with zero corroboration.",1,1,1,1,1,1,0,0,1,1
@SenBlumenthal If anyone has prejudged it you &amp; your Dem colleagues. You announced you would vote against Judge Kavanaugh before any meeting hearing or discussion. Bias is on you.,1,1,1,1,1,1,1,0,1,1
"@SenBlumenthal After all this theater by the Democrats I sincerely hope her case is stronger then your, Senator Blumenthal's, service in Vietnam.",1,0,0,1,1,0,0,1,1,1
"@SenBlumenthal Dr Ford is a liar being used not understanding her life is also ruined, but being the vindictive person she is it shouldn't matter, an attempt to destroy an innocent man and you know is innocent is a ticket to Hell without repentance",1,1,1,1,1,1,1,0,1,1
Is this @SenBlumenthal  who lied about being in combat when he spent his entire military time in the U.S.?  Zero credibility person. https://t.co/4jlnygzYqU,1,1,1,1,1,1,0,1,1,1
@jstaffel1 @SenBlumenthal Nobody saw you either!!,0,1,1,1,1,0,0,0,0,1
@thehill @SenBlumenthal Why don't you shut up. You have zero credibility. We know for a fact you lie.,1,1,1,1,1,1,1,1,1,1
"@SenBlumenthal Unbelievable, Judge touting about fair hearing without proper investigation and due process!

What if Brett Kavanaugh is victim of multiple personality disorder!",1,1,1,1,1,1,0,0,1,1
@SenBlumenthal @marstu67 Thank you!,0,0,0,0,0,0,0,0,0,1
"@SenBlumenthal Democrates should never run this Country again, this Party is the most vile and deceitful the Country has ever seen, I am sure Putin is so proud of his proteges he himself couldn't do a better job of destroying America, Hell has assigned seats for this Party",0,1,1,1,1,1,1,1,1,1
@SenBlumenthal It's up to the WH to prove Kavanaugh's innocence? Really. Where did you get educated about civics &amp; the Constitution? (or did you?) You are despicable. #confirmKavanaughnow #womensupportingKavanaugh,1,1,1,1,1,1,1,1,1,1
"@SenBlumenthal Buying a woman to sexual assault scores of years ago is just One More corrupt politician’s or criminal supporters  of the corrupt demonc🐀 party, it’s overwhelmingly OBVIOUS",1,1,1,1,1,0,0,1,1,1
@AG_Conservative @billpostmus Shocker! @SenBlumenthal is also a POS who thinks stolen valor is okay!,1,1,1,1,1,1,0,1,1,1
"@SenBlumenthal War https://t.co/Zw3S9I8RdJ via @YouTube WAR!
What is Blumenthal good for?
Absolutely nothing    @GrassleyPress",0,0,1,1,1,1,0,0,0,0
"@ChrisMurphyCT @SenBlumenthal 

How about some legislation to protect Mueller's job?",0,1,1,0,1,0,0,0,0,0
"@JohnMetzger4 @SenBlumenthal You’re right. His official record might be spotless. But there is a bunch of documented stuff, including lying under oath. “Stuff” that is publicly available that for some reason is being totally ignored, but is an official record of sorts, and IMO, counts.",1,1,1,1,0,1,0,0,1,1
"If you push Brett Kavanaugh through without an FBI investigation and fair hearing, we will vote you all out now and in 2020! @lisamurkowski @senblumenthal #TW #StopKavanaugh  #MeToo #CancelKavanaugh https://t.co/T79LC9fr4s",1,1,0,1,0,1,1,1,1,1
@KatiePavlich @SenBlumenthal You can't believe everything people tell you. Isn't that right Senator?,0,0,1,1,1,0,0,0,0,0
@SenBlumenthal What about the death threats against the Judge and his family that you have already determined is a liar and guilty without a shred of evidence.  With all due respect you sir are a hypocrite,1,1,1,1,1,1,0,0,1,1
"@SenBlumenthal hysterically suggests the Republicans have a ""good conscience"". https://t.co/1pFQ3Wsjor",0,0,0,0,0,0,0,0,0,1
@snoopuhh @ChrisMurphyCT @SenBlumenthal Because it’s their plan to delay confirmation while destroying a man and his beautiful family. #Nosouls,1,1,0,1,1,1,0,0,0,0
"@SenBlumenthal  REP SHOULD VOTE KAV IN, U CAN INVESTIGATE TILL THE COWS COME HOME - YOU WONT FIND ANYONE TO CORROBORATE THESE ALLEGATIONS. THIS IS THE LOW POINT FOR THE DEMOCRATIC PARTY!",1,1,0,1,1,1,0,1,0,0
"@KatiePavlich @SenBlumenthal Too bad shes not courageous enough to get on a plane, like 2.587 million  other people do in America everyday. You can bet the dems are desperately trying to avoid her testifying, delay, delay, delay. Pathetically obvious.",0,1,0,1,1,1,0,0,1,1
@KatiePavlich @SenBlumenthal I think we all know the game these seditious Dems are playing.,0,0,1,1,1,0,0,0,0,1
@SenBlumenthal Make sure all those young people are registered to vote!,0,0,0,0,0,0,0,0,0,1
@SenBlumenthal WHY DO YOU KEEP EMBARRASSING CONNECTICUT!!!! We know these are hit pieces against Kavanaugh! &amp; he’s given no presumption of Innocence! You need to resign!!!! You and Murphy are sell outs &amp; this only hurts #RealRapeVicitms,1,1,1,1,1,1,1,1,1,1
"@SenBlumenthal Your day is coming ! But unlike kavanaugh,  there will be hardcore evidence on you !",1,1,1,1,1,1,1,0,0,1
"@SenBlumenthal 

Did you go to law school?  Rebut a claim... what happened to presumed innocence. I live in CT and you embarass me.",1,1,1,0,1,1,0,1,0,1
"@SenBlumenthal Vile bullying?! If you think this is bullying, you learned nothing in Veitnam. Oh, right...you weren't there.",1,0,1,1,1,1,0,1,0,1
@SenBlumenthal When you've sold your soul to the highest bidder.... easy to do!!   The GOP is beyond corrupt.  You can't make this s^*t up!!!!,1,1,1,1,1,1,1,1,1,1
@SenBlumenthal So did you tell them your cool Vietnam stories?,0,0,0,0,0,0,0,0,1,1
@SenBlumenthal Why is your face so tight?,0,0,0,0,0,0,0,0,1,0
"@SenBlumenthal Says the decorated phony ""war hero"" 🤪",0,1,1,1,1,1,0,1,1,1
"@JewhadiTM @SenBlumenthal @senjudiciary He probably told him about his Viet Nam war experience. The future of the legal system in good hands, if this is any indication.",0,0,0,0,0,1,0,0,0,1
@SenBlumenthal You lie about your military record and now you are an expert on judging the SCOTUS nominee’s character!  Best laugh all day! You should have been thrown out of the senate along time ahi!,1,1,1,1,1,1,1,1,1,1
"@lilyswan88 @crvaccaro @SenBlumenthal Court rulings affect men's lives too, with all due respect.",0,1,0,0,0,1,0,0,0,1
"@SenBlumenthal Kavanaugh, Trump and the @GOP have brought repeated shame and scandal to the public square. Kavanaugh needs to withdraw. #WithdrawKavanaugh",0,0,1,1,1,1,1,0,0,1
"I'll tell you I have hocked luggies with more sense and character than @SenBlumenthal and after that statement, I sure would like to roll around in the dirt trading knuckle tatoos with #LyingCowardBlumenthal. Bet he never tatoos me! https://t.co/OqtJldBPw9",0,1,1,1,1,1,1,0,1,1
@SenBlumenthal Start will Bill Clinton's accusers!,0,0,0,1,1,1,1,1,1,0
@Sparkys_Life @KatiePavlich @SenBlumenthal He better make sure she goes under oath!,0,1,0,1,1,0,0,0,0,0
@SenBlumenthal  know FBI has no criminal jurisdiction. If u were so righteous why have u not gone after Ellison. Y cause he is a ranking Dem &amp; u can not U r spineless I remember when u criticized Ted Kennedy &amp; Bill Clinton. Then  Dems needed u 2 run 4 senator &amp; u became a puppet.,1,1,1,1,1,1,1,1,0,1
@AmericanConser9 @SenBlumenthal What was water gate about and how many times do u want the Clintons investigated! Believe me I'm not found of the Clintons but I get fucking tired of all liberal hash tagging that conservative throw out-it is both sides of the aisle and don't forget it! Trump is bad as Clinton!,1,1,1,1,1,1,1,1,1,1
@LilyHoole @sandy_57 @SenBlumenthal Were you aware that Sen. Grassley has brought in a sex crimes prosecutor to aide the committee? So if Judge Kavanaugh is guilty he’s gonna fall. However; if Ford is guilty of falsely accusing she is up the proverbial creek. With no paddle. Not even a canoe.,0,1,0,0,0,1,0,1,0,1
"@SenBlumenthal I'm  surprised that all those students would want to associate  with a confirmed, admitted, liar, like you.
Tell me. 
How long exactly did you serve in Vietnam???",1,0,1,1,1,1,1,0,1,1
@SenBlumenthal Judge doesn’t want to lie under oath about what Kavanaugh did at his predatory school.,0,0,1,1,0,0,0,0,1,1
"@SenBlumenthal It's easy to see how someone would make up info in order to save the world. People still think Trump is Hitler and going to kill millions of people because you tell them he is. 
You scare them into irrational behavior and actions. 
YOUR WORDS GAVE REPERCUSSIONS.",1,0,1,1,1,1,1,0,0,1
@SenBlumenthal Coming from the man who lied for decades about his Vietnam military record!,0,0,1,1,1,1,1,1,0,1
@SenBlumenthal Spare us the sanctimony!  Get your law right.  Innocent until proven guilty and Ford has 0 corroborating witnesses while Kavanagh has 4 witnesses and 65 female classmates support him.,1,0,1,0,0,1,1,0,0,1
"@maureendowd Where was your sympathy and support for Jennifer Flowers, Kathleen Willey, and Juanita Broderick?  Yet, a victim of solely unwanted advances as a drunk teenage girl gets your vociferous support?  Further, no pattern of behavior has been established.  Not buying it...",1,0,0,1,1,1,1,1,0,1
"@maureendowd @hillhulse What happened, Maureen? You were always respected for your opinions, research and masterful presentations of how we see ourselves. But, you've fallen off the deep end. I don't know why &amp; we don't agree with anything you say anymore...take care...goodbye.",1,1,1,0,1,1,1,1,0,1
"The sheer gall of @maureendowd to write, ""It is unnerving to think how far women have come, only to find ourselves dragged back to the same place.""

She led the sliming of Hillary, treating her with bitter disdain. And even swipes at her in this piece. https://t.co/kipc5QAc35",1,1,1,1,1,1,1,0,1,1
.@maureendowd at her glittering best: Sick to Your Stomach? #MeToo https://t.co/QP2FDhHktM,0,0,0,1,1,1,0,0,0,0
@maureendowd @MalcolmNance You probably shouldn’t have been so relentless in your attacks on clinton.,1,0,0,0,0,1,0,1,0,0
"@maureendowd @maggieNYT Less than a year ago, Dowd wrote: ""First, with Clarence Thomas, a feminist lynch mob tried to kill off a conservative Supreme Court nominee over sex when the real reason they wanted to get rid of him was politics.""
https://t.co/cHHVpG04I4",1,0,0,1,0,1,1,0,0,0
"@nytimes @maureendowd It’s because she’s trying to obstruct it with a lie. What is it about that, that you cannot see?",1,0,0,1,0,1,1,0,0,0
"@maureendowd I don't know Maureen, it seems you kind of own this a little bit. Good piece though, but not quite ready to say thank you just yet. Did Hillary weigh in on it?",1,0,0,0,0,0,1,0,0,0
"""The times they are a' changin' and the boys here don't get it on this issue. They don't really understand what sexual harassment is and it's not important to them. They tried simply to dispense with her in short order.""  - 1991 @maureendowd column https://t.co/szY8f7huqs",1,0,0,0,0,1,0,0,0,0
@maureendowd Yes we will. Somethings never change. Duh!😱,0,0,0,0,0,1,0,0,0,0
"@maureendowd I think you mean 'top of the planet' Maureen. But yes, he's a complete lying arsehat just like Trump.",0,1,0,1,0,1,1,0,0,0
@maureendowd Perhaps if you hadn’t fought so hard to destroy @HillaryClinton we wouldn’t be facing this spectacle.,0,0,0,1,0,1,1,0,0,0
@maureendowd Once again we see a political hit.  Conscience?  You don't seem to have one.,1,1,1,1,0,1,1,1,1,0
"Columnist @maureendowd is a sign of The New York Times, writes Paul Kelly
https://t.co/z0LhsRFB4M @nytimes https://t.co/pkrqzY5XPR",0,0,0,0,0,0,0,0,0,0
@nytimes @maureendowd What about the pummelling of an individual's life without any evidence and the destorying of our long held rule of innocent until proven guilt.,1,1,0,1,1,1,1,0,0,0
"Scott Morrison on drought and climate change, with @maureendowd: “I just don’t think it’s relevant to the discussion about how we’re helping farmers” https://t.co/65OYCYiPFI #auspol",1,0,0,0,0,1,0,0,0,0
"@maureendowd If the Dems cared about #metoo then allegations of Paula Jones, Monica Lewinsky, Kathleen Willey, and Juanita Broaddrick against Clinton would have their day in court. And more recently, Minnesota Rep, Keith Ellison would be run out of town on a rail for recent sexual misconduct.",1,0,0,0,1,0,1,1,1,1
@nytimes @maureendowd And I most dread the rhyming history we are plunged into now: the merciless pummeling of a man who dares to obstruct the liberal agenda of the Democrats and their media.,1,0,0,1,0,1,1,0,1,0
"@peterdaou @AndthenIsleep @maureendowd Jealous, she knows HRC is the true POTUS. Bleating in the wind because she's a has been.",1,1,0,1,0,1,1,0,1,0
"@nytimes @maureendowd Women who lie about rape make me sick to my stomach,almost as much as anything written by the phony New York times.",1,1,1,1,1,0,1,0,1,1
@maureendowd Hello from flyover country. You still can’t see us? We like Trump,1,0,0,0,0,1,1,0,0,0
@maureendowd Nice try Down! You are despicable!,1,0,1,1,1,1,1,0,1,1
@maureendowd's J'accuse in today's @nytimes concludes with an observation that should shame DC political actors and their enablers: https://t.co/fR6UrNVecw,1,0,0,1,0,0,0,0,0,0
