con1,con2,con3,con4,con5,lib1,lib2,lib3,lib4,lib5,tweet_id
2,1,1,1,1,1,2,1,2,2,x1044382172348583936
1,1,2,1,1,1,1,1,1,1,x1044635992479555584
1,1,2,1,1,2,2,1,2,2,x1044221744008097797
2,2,2,1,1,2,2,2,2,1,x1044319557173817346
1,1,1,1,1,1,1,1,1,1,x1044208648224935936
2,1,1,1,1,2,2,2,2,2,x1044569015878848513
2,2,2,2,2,2,2,2,2,2,x1044584353982869507
1,1,2,1,1,1,2,1,2,2,x1044381320573538305
1,1,1,1,1,1,1,1,1,1,x1044014807773564932
1,1,1,1,1,1,2,1,2,1,x1044375239701012480
1,2,1,1,1,1,2,1,1,1,x1044540781908897794
2,2,2,2,2,2,2,3,2,2,x1044305456653570048
1,1,2,1,1,1,2,1,1,1,x1044303735785058304
1,1,2,1,1,1,2,1,1,1,x1044379373527330818
2,1,2,1,1,1,2,2,1,1,x1044322310025400321
1,2,2,1,1,1,2,1,1,1,x1044631418146631680
1,1,1,1,1,1,2,1,1,1,x1044287674926927873
2,1,2,1,2,1,2,1,1,1,x1044224378471251968
2,2,2,2,2,2,2,2,2,1,x1044431656705241088
1,1,1,1,1,1,1,1,2,2,x1044400752544739329
1,1,1,1,1,1,2,1,1,2,x1044391659134439426
1,1,1,1,1,1,2,1,2,1,x1044517506767962112
1,1,1,1,1,1,2,1,1,2,x1044286098829189120
1,1,1,1,1,1,1,1,1,1,x1044637994408235008
1,1,1,1,1,1,2,1,2,1,x1044366585761345536
1,1,1,1,1,1,2,1,2,1,x1044099957026959360
2,1,1,1,1,1,2,1,1,1,x1044664901958914049
1,2,1,1,1,1,2,1,2,1,x1044280087007367169
1,2,1,1,1,1,1,1,1,1,x1044386580641853440
1,2,1,1,1,2,2,1,1,1,x1044536769188962305
2,1,1,1,1,2,1,1,1,1,x1044461966176079872
1,1,1,1,1,1,1,1,1,2,x1044449778006994944
1,1,1,1,1,1,1,1,1,1,x1044360904530219008
2,1,1,1,1,1,1,1,2,2,x1044348125366951937
2,1,1,1,1,1,2,1,2,1,x1044343292111069184
1,1,1,1,1,1,2,1,1,1,x1044624210893688832
2,1,1,1,1,1,2,1,2,1,x1044354786550849536
1,1,1,1,1,1,2,1,2,1,x1044613066435022849
2,1,1,1,1,1,2,1,2,1,x1044618786505134080
1,1,1,1,1,1,2,1,1,1,x1044313735186108416
1,1,1,1,1,1,2,1,1,1,x1044285151839223814
1,1,1,1,2,1,1,1,1,1,x1044018557426827264
2,2,2,1,1,2,2,1,2,1,x1044315666906574848
1,1,1,1,1,1,2,1,2,1,x1044593285820567552
1,1,1,1,1,1,1,1,1,1,x1044570179986968576
2,2,2,1,1,2,2,2,2,1,x1044301848302288897
1,1,1,1,1,1,1,1,1,1,x1044366183942754305
1,1,1,1,1,1,2,1,1,1,x1044350514962427906
1,1,1,1,1,1,2,1,1,1,x1044379172137816064
2,1,1,1,1,1,2,1,2,1,x1044304788412928000
1,1,2,1,2,1,1,1,1,1,x1044394369489473537
1,1,1,1,1,1,2,1,1,1,x1044209474293174272
1,1,1,1,1,1,1,1,1,1,x1044618996241305600
2,2,2,2,1,2,2,2,2,2,x1044644640178270208
1,1,1,1,1,1,2,1,1,1,x1044668445722333184
1,1,1,1,1,1,2,1,2,1,x1044343158866407425
1,1,1,1,1,1,2,1,1,1,x1044357107305402370
1,1,1,1,1,2,2,1,2,1,x1044193683002789889
1,1,1,2,1,1,2,2,2,1,x1044416732398522368
1,1,1,1,1,1,2,1,1,1,x1044325894100258816
2,1,1,1,1,1,1,1,1,1,x1044401574129340416
1,1,1,1,1,2,1,2,1,1,x1044352983536820224
1,1,1,1,1,2,2,2,1,1,x1044251826768551936
2,1,1,1,1,2,2,2,2,1,x1044384914773340161
1,1,1,1,1,1,2,1,1,1,x1044310327624695809
1,1,1,1,1,1,2,1,1,1,x1044359753030410241
2,1,1,1,1,1,2,1,1,1,x1044388275144859648
2,2,1,1,2,2,2,2,2,1,x1044335366537392128
2,2,2,2,1,2,2,2,2,1,x1044436604398522368
2,1,1,1,1,1,2,2,2,1,x1044672304414945280
1,1,1,1,1,1,1,1,1,1,x1044388399392665600
2,2,1,2,1,2,2,2,2,1,x1044629391307927557
1,1,2,1,1,1,2,1,1,1,x1044289722519093248
2,1,1,2,1,1,2,2,2,1,x1044288624160919552
2,2,2,2,1,2,2,2,2,1,x1044057986014932992
1,1,1,1,1,2,2,1,1,1,x1044536871689342981
2,2,1,1,1,2,2,2,1,1,x1044664116646998016
2,1,1,1,1,1,2,1,1,1,x1044214532753813504
2,2,1,1,1,1,2,2,1,2,x1044384627803213825
2,1,2,2,1,1,2,2,2,1,x1044313175808757760
1,2,1,1,2,2,2,1,1,1,x1044233475501576194
2,1,1,1,1,1,2,1,1,1,x1044415877133864960
2,2,1,2,2,1,2,2,1,1,x1044315346524614657
2,1,1,1,1,2,2,2,2,1,x1044308789271248896
1,2,2,2,1,2,2,2,2,1,x1044428167979704322
2,1,1,1,1,1,2,1,2,1,x1044281975576637441
2,2,2,2,1,1,2,2,2,2,x1044293562173730817
2,1,1,1,1,1,2,1,2,2,x1044281707195764741
2,2,1,2,2,2,2,2,1,1,x1044040106468937728
2,1,1,1,1,2,1,2,1,1,x1044285576281821184
2,1,2,2,1,2,2,2,2,1,x1044290340226772992
1,1,1,1,1,1,1,1,1,1,x1044406644380258304
2,2,1,1,1,1,1,2,1,1,x1044365313242877952
1,1,1,1,1,1,2,1,2,1,x1044296163355168770
1,1,1,1,2,1,1,1,1,1,x1044013583967899650
1,2,2,2,1,2,2,2,2,1,x1044657036712177665
1,2,2,2,1,2,2,2,2,1,x1044288512495898624
1,1,1,1,1,1,2,2,1,1,x1044383034311692288
2,2,1,1,1,1,2,1,1,1,x1044070785122488320
1,1,1,1,1,1,1,2,1,1,x1044415722867363840
2,1,1,1,1,2,2,2,2,2,x1044420365580005376
2,2,2,2,1,2,2,2,2,1,x1044357571707129856
2,1,1,1,1,1,2,1,2,1,x1044189112985636864
1,2,2,1,1,2,2,1,1,1,x1044365381211754497
1,1,1,1,1,1,1,2,1,1,x1044446460626952192
1,1,1,1,1,1,2,1,1,1,x1044658717386571776
2,1,1,1,1,2,2,2,2,1,x1044283602597564422
1,1,2,1,1,1,1,1,1,2,x1044285701641187329
1,1,1,1,1,1,2,1,1,1,x1044359071992664064
2,2,1,1,2,1,2,1,2,1,x1044634013233819649
1,1,1,1,1,1,2,1,1,1,x1044374615315943424
2,1,1,1,1,1,2,1,1,1,x1044373877097459717
1,1,1,1,1,1,1,1,1,1,x1044668972606664704
1,1,2,1,1,1,2,1,2,2,x1044277718831915008
1,1,1,1,1,1,1,1,1,2,x1044353190475550720
1,1,1,1,1,1,1,2,1,2,x1044283197717139456
1,1,1,1,1,2,2,2,1,2,x1044289184998019074
1,1,1,1,1,1,2,1,1,1,x1044295635460022275
1,1,2,1,1,1,2,1,1,1,x1044343791690403842
2,1,2,1,1,2,2,2,2,1,x1044277748384980996
1,1,1,1,1,1,1,1,1,1,x1044599213408088065
1,1,1,1,1,1,2,1,1,1,x1044088874505523200
1,1,1,1,1,1,2,2,1,1,x1044398796644528129
2,2,2,2,2,2,2,2,2,1,x1044301070535708672
1,1,1,1,1,1,2,1,1,1,x1044285169530736643
2,1,1,1,1,1,1,1,1,1,x1044445399220506624
1,1,1,1,1,1,1,1,1,1,x1044376436201725953
1,1,1,1,1,1,1,1,1,1,x1044311883749216256
1,1,1,1,1,1,2,1,1,1,x1044380768494129154
1,1,1,1,1,1,2,1,1,1,x1044624769864282112
1,1,1,1,1,2,2,1,1,1,x1044453003108003840
2,1,1,2,1,2,2,2,1,2,x1044342676944896000
2,2,2,2,1,2,2,2,2,1,x1044674216396771330
1,1,1,1,1,1,2,1,1,1,x1044346889183920129
1,1,1,1,1,1,1,1,1,2,x1044162190809403392
1,1,1,1,1,1,2,2,1,1,x1044468038819610624
1,2,1,2,1,2,2,2,2,1,x1044381802763354112
2,2,2,2,1,2,2,2,2,3,x1044042076432846849
2,2,2,2,1,2,2,2,2,1,x1044288865027026944
2,2,1,1,1,1,2,2,2,2,x1044295990583468032
2,1,1,2,1,2,2,2,2,2,x1044281543185829888
1,1,1,1,1,2,2,1,1,2,x1044187567497924608
1,1,1,1,1,1,2,1,1,2,x1044388701684617223
1,1,1,1,1,1,1,1,1,1,x1044381653517455360
1,1,1,1,2,1,2,2,1,1,x1044049591950299136
1,1,2,1,2,1,1,1,1,1,x1044015304651800577
2,1,1,1,1,1,2,1,2,1,x1044019021023248384
2,1,1,1,1,1,2,1,2,1,x1044378387324620801
1,1,1,1,1,1,2,1,1,2,x1044500398835404800
2,1,2,1,1,1,2,1,2,2,x1044350996510646275
2,2,1,1,1,2,2,2,2,2,x1044349151008493568
1,1,1,1,2,1,2,1,1,1,x1044288523409510401
1,1,3,1,1,1,2,1,2,1,x1044315901615644684
1,1,1,2,1,2,2,2,2,1,x1044634616508936192
1,1,1,1,1,1,2,2,1,1,x1044286781871591429
1,2,1,1,1,1,2,2,2,1,x1044372588267548672
2,2,2,2,2,2,2,2,2,1,x1044254020389543936
1,1,2,1,1,2,2,2,2,2,x1044370118749360128
1,1,2,1,1,1,2,2,2,2,x1044428613477683202
1,1,2,1,1,1,2,1,2,2,x1044213256787775488
2,1,2,1,1,1,2,2,1,1,x1044328439262654467
2,2,1,1,1,2,2,2,2,1,x1044361769668542465
1,1,1,1,1,2,2,1,1,1,x1044016022674657280
2,2,2,2,2,2,2,2,2,1,x1044306638767886336
1,2,1,1,1,1,1,1,2,1,x1044217553990680577
1,1,1,1,1,2,2,1,1,1,x1044385182105645057
1,1,1,1,1,1,1,1,2,1,x1044299098877251584
2,2,1,1,1,2,1,2,2,1,x1044311626952912896
2,1,1,1,1,1,2,2,2,1,x1044108156752691205
1,1,1,1,1,1,1,1,1,1,x1044395219440013312
2,2,2,2,1,2,2,2,2,1,x1044297800434024453
1,1,1,1,1,1,1,2,2,1,x1044285751771435008
1,1,1,1,1,1,2,2,1,1,x1044399008565747712
1,1,1,2,1,1,2,1,2,1,x1044383205443481600
1,2,1,1,1,1,2,1,2,1,x1044337855617806336
2,2,1,1,1,2,2,2,2,2,x1044587081706721280
1,1,1,1,1,1,1,1,1,1,x1044398851166093312
1,1,1,1,1,1,1,2,1,1,x1044321847943331840
1,1,1,1,1,1,1,1,1,1,x1044392120860184577
1,1,1,1,1,1,1,1,1,1,x1044363117441019904
2,2,2,2,2,2,2,2,1,1,x1044398125140652032
2,2,1,2,2,1,2,2,1,1,x1044333537787138048
1,2,2,1,1,1,1,2,2,1,x1044621792051122178
2,2,2,2,2,2,2,2,1,2,x1044045156910067713
1,2,2,1,1,1,1,2,1,2,x1044385791533813760
2,1,1,1,1,1,2,1,1,1,x1044149920884817920
2,2,2,2,2,1,2,2,2,1,x1044621364672352256
1,2,1,1,1,1,1,2,1,1,x1044278834164637697
2,2,2,1,2,1,2,2,2,1,x1044290821229547520
1,1,1,1,1,1,1,1,1,1,x1044282494709911552
2,1,2,1,1,1,2,1,2,1,x1044350379469737984
2,2,2,2,2,2,2,2,1,2,x1044296215582699520
1,1,1,1,1,1,1,1,1,1,x1044345160346324993
2,1,2,2,2,1,2,2,2,1,x1044394534761889792
2,2,1,1,1,1,1,2,2,1,x1044166562079539201
2,2,1,1,1,1,1,2,1,1,x1044382634472812544
2,2,2,2,2,1,2,2,2,2,x1044173159501520896
2,1,1,1,1,1,1,2,1,1,x1044384846087245824
2,2,2,1,1,1,1,1,1,2,x1044320078114836480
2,1,2,1,1,2,2,2,2,2,x1044332059072782336
1,1,1,1,1,1,1,1,1,1,x1044288150783299585
1,1,1,1,1,1,1,1,1,1,x1044449279803371520
1,1,1,1,1,1,1,1,2,1,x1044404214577983488
1,1,1,2,1,2,1,1,2,1,x1044265429370368000
1,1,1,1,1,1,1,1,1,1,x1044175941554106368
1,1,1,1,1,1,1,1,1,1,x1044642899399516163
2,1,2,2,2,1,2,1,2,1,x1044388828180606976
1,2,1,1,1,1,1,2,1,1,x1044386357437759488
2,2,1,1,2,2,2,2,1,1,x1044356260668342272
2,2,2,1,2,1,1,2,2,2,x1044238791425380357
2,2,1,2,2,1,1,2,2,1,x1044672686516051970
1,1,1,1,1,1,1,1,1,1,x1044675901676564481
1,1,1,1,1,1,1,1,1,1,x1044378752707440640
1,1,1,1,1,1,1,2,1,1,x1044296494860390401
1,1,1,1,1,1,1,1,1,1,x1044401034376998912
2,2,1,1,1,1,1,2,2,1,x1044593147064537088
2,2,1,1,1,1,1,2,1,1,x1044284595917795334
1,2,1,1,1,1,1,2,2,1,x1044297641327292417
2,2,1,1,1,1,1,1,2,1,x1044369932077682688
2,2,1,2,1,1,2,2,2,2,x1044365699819425793
2,2,1,1,1,1,1,1,2,1,x1044405771478478848
2,2,1,1,1,1,1,2,1,2,x1044644717969977344
2,2,1,1,1,1,1,2,2,1,x1044403006236692480
1,2,1,2,2,1,1,2,2,1,x1044305649612574726
2,2,1,2,2,2,2,2,2,2,x1044291816076587008
2,2,2,2,2,2,2,2,2,2,x1044014533470228485
2,2,2,2,1,1,2,2,2,2,x1044308731343687680
1,1,2,1,1,1,1,1,2,1,x1044307040850587648
1,1,1,2,2,1,1,2,1,1,x1044420326300569600
2,2,2,2,1,1,1,2,2,1,x1044633751400124417
2,1,2,1,1,1,1,2,1,1,x1044618543705346049
1,1,2,1,2,1,1,2,2,1,x1044387939223052288
2,2,2,1,1,1,1,2,2,1,x1044448874214162432
2,2,1,2,1,1,2,2,1,2,x1044447089302790144
1,2,2,2,1,1,2,2,2,1,x1044162171893092352
1,2,2,1,2,1,1,2,2,1,x1044314750195302402
2,1,1,2,1,1,1,2,2,1,x1044205429729853440
2,2,1,1,2,2,2,2,2,2,x1044065511280128001
1,1,1,1,1,1,1,2,1,1,x1044048664883339264
2,1,2,2,1,1,2,2,2,1,x1044295522641752064
2,1,1,2,2,1,2,2,2,2,x1044295557311795205
1,2,1,1,1,1,1,2,1,1,x1044398308087779328
2,2,2,2,1,1,1,2,1,1,x1044313511004971008
1,2,1,2,1,1,1,1,2,1,x1044633822845779968
1,1,1,2,2,1,1,2,2,1,x1044083591590891520
2,1,1,2,2,1,2,2,2,2,x1044329984209432581
1,2,1,1,1,1,1,2,2,1,x1044616602082258944
2,2,1,2,2,1,2,2,1,1,x1044329459434881035
2,2,1,2,2,1,2,2,2,2,x1044360233785741317
1,2,1,1,1,1,1,1,1,1,x1044480180612403200
1,2,1,2,1,1,1,2,1,1,x1044399668698976257
2,3,1,2,1,2,1,1,2,1,x1044337274568298496
1,3,1,1,1,1,1,1,1,1,x1044302693328654336
2,3,2,2,2,2,2,2,2,2,x1044546695546228736
1,3,2,1,1,1,1,3,2,1,x1044118474484797441
2,3,1,1,1,1,1,1,2,1,x1044378338691862529
1,3,1,1,1,1,1,1,2,1,x1044286177342377986
2,3,2,2,1,1,2,2,2,2,x1044606294584365056
1,3,1,1,1,1,1,1,1,1,x1044026796373667841
2,3,1,2,1,1,1,2,1,1,x1044363359296995328
2,3,2,2,2,2,2,2,2,2,x1044260445568344064
2,3,1,2,1,1,1,1,1,1,x1044311861095583746
1,3,1,1,1,1,1,1,2,1,x1044302338352181250
2,3,1,2,1,1,1,2,1,1,x1044285231145136128
1,3,2,1,1,1,1,2,2,1,x1044640092512382976
2,3,1,1,1,2,1,2,2,1,x1044400583480938496
2,3,2,2,2,2,2,2,2,2,x1044371790087311362
2,3,1,1,1,1,1,2,1,1,x1044388629051658247
2,3,2,2,2,2,2,2,2,2,x1044378793417236480
1,3,2,1,1,1,1,2,2,1,x1044383949311676416
2,3,2,2,1,1,1,2,2,1,x1044301569037135873
2,3,1,1,2,1,2,2,2,2,x1044278713574195201
1,3,1,3,1,1,1,2,2,1,x1044241307483418624
2,3,2,1,2,1,2,2,2,1,x1044314202045927425
2,3,1,2,1,1,2,2,1,1,x1044347071313186816
2,3,2,2,1,1,2,2,2,2,x1044354102858317826
2,3,1,2,1,2,2,3,2,1,x1044077764498927617
2,3,1,2,1,1,2,2,1,1,x1044137714692558848
2,3,2,2,1,2,2,2,2,2,x1044606136048017408
1,3,1,1,1,1,1,2,1,1,x1044675035816845312
1,3,1,1,1,1,1,2,1,1,x1044326381168074752
1,3,1,1,1,1,1,2,1,1,x1044596181555466241
2,3,1,1,1,1,1,2,2,1,x1044536393932918784
1,3,2,1,1,1,1,2,2,2,x1044383166809567232
1,3,1,1,1,1,1,2,1,1,x1044183783073710080
1,3,1,1,1,1,1,1,1,1,x1044310066118230016
1,3,2,1,1,1,1,2,2,1,x1044564508528824320
2,3,2,2,1,1,2,2,1,2,x1044677770608103424
2,3,2,2,1,1,2,2,2,2,x1044375264069914624
1,3,2,1,1,1,2,1,1,1,x1044169922937573376
2,3,2,1,1,1,1,2,1,1,x1044604885730115585
1,3,1,1,1,1,1,2,1,1,x1044384197639630848
2,3,2,2,1,1,1,2,2,1,x1044544642098892801
2,3,1,2,1,1,1,2,2,1,x1044279426123526145
2,3,2,2,2,2,2,2,2,2,x1044590919033458689
1,3,1,1,1,1,1,2,1,1,x1044441249355321344
2,3,2,2,1,1,1,2,2,2,x1044357082449944582
1,3,1,1,1,1,1,2,1,1,x1044378129068945408
2,3,1,2,1,1,1,2,1,1,x1044370608782536704
3,3,2,2,1,1,2,2,2,2,x1044281159608389632
1,3,2,1,1,1,1,2,1,1,x1044240368273952770
1,3,2,1,1,1,1,2,1,1,x1044316356538183681
2,3,2,2,1,3,2,2,2,2,x1044416281179541504
1,3,1,1,1,1,1,1,1,1,x1044063351310094339
1,3,1,1,1,1,1,1,1,1,x1044630951928770560
1,3,1,1,1,1,1,1,1,1,x1044458308105515008
2,3,1,2,2,2,2,2,2,2,x1044353492935151617
2,3,1,1,1,1,1,2,2,1,x1044066160105451520
2,3,2,2,1,1,1,2,1,1,x1044252839529369601
1,3,1,1,1,1,1,1,1,1,x1044278782595682304
2,3,1,1,1,1,1,2,1,1,x1044445507274375168
1,3,2,1,1,1,1,2,1,1,x1044632678300098560
2,3,1,1,1,1,1,1,1,1,x1044223703763103745
2,3,2,1,1,1,1,2,1,1,x1044285908621684738
2,3,1,2,1,1,1,2,2,1,x1044067167665344512
1,3,1,2,1,1,1,2,2,1,x1044359952993800193
1,3,1,2,1,1,1,2,1,1,x1044392743575777280
2,3,1,2,1,1,1,2,1,1,x1044674154702798854
1,3,1,1,1,1,1,1,1,1,x1044296623357120513
1,3,1,1,1,1,1,1,1,1,x1044372469530988545
2,3,1,1,1,1,1,1,1,1,x1044465630009643008
2,3,2,2,2,2,2,2,2,2,x1044319825823027205
2,3,2,1,1,1,1,2,1,1,x1044653418764271617
2,3,1,2,1,1,1,2,1,2,x1044674921148887040
2,3,2,2,2,1,2,2,1,1,x1044281153564291073
1,3,1,1,1,1,1,2,1,1,x1044279029778534400
2,3,2,2,1,1,2,2,1,1,x1044288016653717504
1,3,1,1,1,1,1,1,1,1,x1044378745287659520
2,3,1,1,1,1,1,1,2,1,x1044618500344565760
1,3,1,2,1,1,1,2,1,1,x1044278454844305408
2,3,1,1,1,1,1,2,1,1,x1044380394278309888
2,3,2,2,1,1,2,2,1,1,x1044386949690257409
1,3,1,1,1,1,1,1,1,1,x1044282307660648448
1,3,1,1,1,1,1,1,1,1,x1044365026486771712
2,3,2,2,2,1,2,2,2,2,x1044280879214940160
2,3,1,1,1,1,1,2,2,1,x1044033531423461376
2,3,1,2,1,1,1,2,1,1,x1044674482496053251
1,3,1,2,1,1,1,2,1,1,x1044293201761374209
2,3,1,2,1,1,1,2,1,1,x1044284627081408513
2,3,1,2,1,1,1,2,2,1,x1044543496466640896
2,3,2,2,1,1,2,2,1,1,x1044320344943808515
1,3,1,1,1,1,1,2,1,1,x1044278640052228098
2,3,1,2,1,2,2,2,2,1,x1044240560092073985
1,3,1,1,1,1,1,2,1,1,x1044401626096648192
2,3,1,2,1,1,1,2,2,1,x1044314640195497984
1,3,1,1,1,1,1,1,1,1,x1044622806015717376
2,3,2,2,1,2,2,2,2,1,x1044376077475311616
1,3,1,1,1,1,1,2,2,1,x1044308440703623169
1,3,1,1,1,1,1,2,2,1,x1044025238802108417
1,3,1,2,1,1,1,1,1,1,x1044412078218448896
1,3,1,1,1,1,1,1,1,1,x1044188295289327616
2,3,1,1,1,1,1,2,1,1,x1044500178466672641
2,3,2,2,2,1,1,2,2,1,x1044278815617372160
2,3,2,2,2,1,1,2,2,1,x1044418734335549440
2,3,1,1,1,1,1,2,1,1,x1044439516855988224
2,3,2,2,1,1,1,2,2,1,x1044071324803584005
1,3,1,1,1,1,1,2,2,1,x1044283919464452096
1,3,1,1,1,1,2,2,1,1,x1044286458624978945
2,3,2,2,1,2,2,2,2,1,x1044395322359844869
1,3,1,1,1,1,1,2,2,1,x1044418882109235200
1,3,1,2,1,1,1,1,1,1,x1044376675155398657
2,3,1,2,1,1,1,2,2,2,x1044355869138284544
2,3,2,2,2,2,2,2,2,2,x1044574731461173249
1,3,1,2,1,1,1,2,1,1,x1044306646728617985
2,3,1,2,1,1,1,2,2,1,x1044327457615163392
2,3,1,3,1,1,1,2,1,1,x1044280472950513665
1,3,2,1,1,1,1,2,1,1,x1044297619202289664
2,3,1,2,1,1,1,2,1,1,x1044190705982279680
2,3,2,1,1,1,1,3,1,1,x1044581560001806337
2,3,2,2,2,1,2,2,2,1,x1044295779748401153
1,3,1,2,1,1,1,2,1,1,x1044537458770292736
1,3,2,1,1,1,1,2,2,1,x1044351738323619841
1,3,1,1,1,1,1,1,2,1,x1044389129927061505
1,3,1,1,1,1,1,2,1,1,x1044157529591287809
1,3,1,1,1,1,1,1,1,1,x1044624112876802049
2,3,1,2,1,1,1,2,1,1,x1044234413221900289
1,3,1,1,1,1,1,3,2,1,x1044431944442925056
2,3,1,1,1,1,1,2,1,1,x1044318210894352384
2,3,2,1,1,1,1,2,1,1,x1044290174170030082
2,3,2,2,2,1,2,2,1,1,x1044320610149691404
2,3,1,2,1,1,1,2,1,1,x1044282320449036288
2,3,1,1,1,1,1,2,2,1,x1044223564365385729
2,3,1,2,1,1,1,2,1,1,x1044404355657592832
2,3,1,1,1,1,1,2,2,1,x1044379954690084864
2,3,1,1,1,1,1,2,1,1,x1044359518262423552
2,3,2,1,2,1,2,2,2,1,x1044568550420226048
1,3,1,1,1,1,1,1,1,1,x1044325183337549826
2,3,2,1,1,1,1,2,2,1,x1044576250646482944
2,3,2,2,2,1,2,2,2,2,x1044280737858572291
1,3,1,1,1,1,1,2,1,1,x1044411048479125504
1,3,1,1,1,1,1,1,1,1,x1044324947651424256
1,3,1,1,1,1,1,1,1,1,x1044325219270365185
2,3,1,2,2,1,1,2,1,1,x1044417447141560320
1,3,1,1,1,1,1,2,1,1,x1044267460973735936
1,3,2,3,1,1,1,2,1,1,x1044300775055413254
2,3,2,2,2,1,2,2,1,2,x1044307291053445125
2,3,2,2,2,2,2,2,1,1,x1044306572686610432
2,3,2,2,2,2,2,2,2,1,x1044410634799124481
1,3,1,1,2,2,2,2,1,1,x1044201232016060416
1,3,1,1,1,1,1,2,1,1,x1044284770723811328
2,3,2,1,2,1,2,2,1,1,x1044378516077273088
1,3,1,1,1,1,1,1,1,1,x1044293016817717249
1,3,1,1,1,1,1,1,1,1,x1044639462964244481
2,3,1,1,1,1,1,2,2,2,x1044358347305222145
2,3,2,1,1,1,1,2,1,1,x1044655297707560966
